Time,SP,Tin,Time01,hour,IncO01,Weekdays,Step,Time03,IncO,Month,days,days01
2020-11-06 23:24,22.889,23.169,23,0,,Friday,19289,23,0,November,66,0
2020-11-06 23:29,22.889,23.169,23,0,,Friday,19290,23,0,November,66,0
2020-11-06 23:34,22.889,23.169,23,0,,Friday,19291,23,0,November,66,0
2020-11-06 23:39,22.889,23.169,23,0,,Friday,19292,23,0,November,66,0
2020-11-06 23:44,22.889,23.309,23,0,,Friday,19293,23,0,November,66,0
2020-11-06 23:49,22.889,23.309,23,0,,Friday,19294,23,0,November,66,0
2020-11-06 23:54,22.889,23.309,23,0,,Friday,19295,23,0,November,66,0
2020-11-06 23:59,22.889,23.169,23,-23,,Friday,19296,23,0,November,66,0
2020-11-07 0:04,22.889,23.169,0,0,,Saturday,19297,0,0,November,0,-66
2020-11-07 0:09,22.889,23.169,0,0,,Saturday,19298,0,0,November,0,0
2020-11-07 0:14,22.889,23.169,0,0,,Saturday,19299,0,0,November,0,0
2020-11-07 0:19,22.889,23.169,0,0,,Saturday,19300,0,0,November,0,0
2020-11-07 0:24,22.889,23.169,0,0,,Saturday,19301,0,0,November,0,0
2020-11-07 0:29,22.889,23.169,0,0,,Saturday,19302,0,0,November,0,0
2020-11-07 0:34,22.889,23.029,0,0,,Saturday,19303,0,0,November,0,0
2020-11-07 0:39,22.889,23.029,0,0,,Saturday,19304,0,0,November,0,0
2020-11-07 0:44,22.889,23.029,0,0,,Saturday,19305,0,0,November,0,0
2020-11-07 0:49,22.889,23.029,0,0,,Saturday,19306,0,0,November,0,0
2020-11-07 0:54,22.889,23.029,0,0,,Saturday,19307,0,0,November,0,0
2020-11-07 0:59,22.889,23.029,0,1,,Saturday,19308,0,0,November,0,0
2020-11-07 1:04,22.889,23.029,1,0,,Saturday,19309,1,0,November,0,0
2020-11-07 1:09,22.889,23.029,1,0,,Saturday,19310,1,0,November,0,0
2020-11-07 1:14,22.889,23.029,1,0,,Saturday,19311,1,0,November,0,0
2020-11-07 1:19,22.889,23.029,1,0,,Saturday,19312,1,0,November,0,0
2020-11-07 1:24,22.889,23.029,1,0,,Saturday,19313,1,0,November,0,0
2020-11-07 1:29,22.889,23.029,1,0,,Saturday,19314,1,0,November,0,0
2020-11-07 1:34,22.889,23.029,1,0,,Saturday,19315,1,0,November,0,0
2020-11-07 1:39,22.889,23.029,1,0,,Saturday,19316,1,0,November,0,0
2020-11-07 1:44,22.889,23.029,1,0,,Saturday,19317,1,0,November,0,0
2020-11-07 1:49,22.889,23.029,1,0,,Saturday,19318,1,0,November,0,0
2020-11-07 1:54,22.889,23.029,1,0,,Saturday,19319,1,0,November,0,0
2020-11-07 1:59,22.889,23.029,1,1,,Saturday,19320,1,0,November,0,0
2020-11-07 2:04,22.889,23.029,2,0,,Saturday,19321,2,0,November,0,0
2020-11-07 2:09,22.889,23.029,2,0,,Saturday,19322,2,0,November,0,0
2020-11-07 2:14,22.889,23.029,2,0,,Saturday,19323,2,0,November,0,0
2020-11-07 2:19,22.889,23.029,2,0,,Saturday,19324,2,0,November,0,0
2020-11-07 2:24,22.889,23.029,2,0,,Saturday,19325,2,0,November,0,0
2020-11-07 2:29,22.889,23.029,2,0,,Saturday,19326,2,0,November,0,0
2020-11-07 2:34,22.889,23.029,2,0,,Saturday,19327,2,0,November,0,0
2020-11-07 2:39,22.889,23.029,2,0,,Saturday,19328,2,0,November,0,0
2020-11-07 2:44,22.889,23.029,2,0,,Saturday,19329,2,0,November,0,0
2020-11-07 2:49,22.889,23.029,2,0,,Saturday,19330,2,0,November,0,0
2020-11-07 2:54,22.889,23.029,2,0,,Saturday,19331,2,0,November,0,0
2020-11-07 2:59,22.889,23.029,2,1,,Saturday,19332,2,0,November,0,0
2020-11-07 3:04,22.889,23.029,3,0,,Saturday,19333,3,0,November,0,0
2020-11-07 3:09,22.889,23.029,3,0,,Saturday,19334,3,0,November,0,0
2020-11-07 3:14,22.889,23.029,3,0,,Saturday,19335,3,0,November,0,0
2020-11-07 3:19,22.889,22.889,3,0,,Saturday,19336,3,0,November,0,0
2020-11-07 3:24,22.889,22.889,3,0,,Saturday,19337,3,0,November,0,0
2020-11-07 3:29,22.889,22.889,3,0,,Saturday,19338,3,0,November,0,0
2020-11-07 3:34,22.889,22.889,3,0,,Saturday,19339,3,0,November,0,0
2020-11-07 3:39,22.889,22.889,3,0,,Saturday,19340,3,0,November,0,0
2020-11-07 3:44,22.889,22.889,3,0,,Saturday,19341,3,0,November,0,0
